weiboId	attitudes_count	bmiddle_pic	comments_count	created_at	favorited	geo	id	idstr	in_reply_to_screen_name	in_reply_to_status_id	in_reply_to_user_id	mid	mlevel	original_pic	pic_urls	reposts_count	source	text	thumbnail_pic	truncated	uid	visible	retweeted_status_id	gatherTime
2795-	3		1	Fri Mar 14 07:39:21 +0800 2014			3687927769123815	3687927769123815				3687927769123815	0			2	<a href=" rel="nofollow">iPhone客户端</a>	回复@南极JaronNan:I have other shows so I cannot continue on the #saythewordstour# . But @曲婉婷Wanting a tour lasts until the end of March in North America ! Go see it !//@南极JaronNan:So that means your show has come to an end so far?			5060511691	00	3687864854744873	1397717462203
2796-	7		6	Wed Apr 09 05:02:01 +0800 2014			3697310259556674	3697310259556674				3697310259556674	0		#	0	<a href=" rel="nofollow">Instagram</a>	This is the #TryingToMinimizeMyCoffeeIntake this week look... #poutyface #selfie  			5060511691	00	0	1397717462204
2797-	1		0	Tue Apr 08 12:33:58 +0800 2014			3697061608143084	3697061608143084				3697061608143084	0			0	<a href=" rel="nofollow">iPhone客户端</a>	回复@EVA_LuckyCharm:[害羞]//@EVA_LuckyCharm:[爱你]//@CodyKarey:回复@停转的牧马:I was! But dat coffee!!!! [哈哈]//@停转的牧马:you look so tired[困]			5060511691	00	3691990362997532	1397717462206
2798-	1		0	Tue Apr 08 10:11:45 +0800 2014			3697025822620555	3697025822620555				3697025822620555	0			0	<a href=" rel="nofollow">iPhone客户端</a>	回复@wen雅茹想去见Taylor:[嘻嘻]//@wen雅茹想去见Taylor:[熊猫][熊猫][熊猫][心]			5060511691	00	3696930989719384	1397717462207
2799-	1		0	Tue Apr 08 13:22:57 +0800 2014			3697073935688277	3697073935688277				3697073935688277	0			0	<a href=" rel="nofollow">iPhone客户端</a>	回复@邓小导:Ni Hao!//@邓小导:why,no@me!!!//@CodyKarey:回复@AngelineTancherla陈奕琪:Ni Hao! [嘻嘻]			5060511691	00	3696950048610202	1397717462208
2800-	7		10	Tue Mar 25 14:02:26 +0800 2014			3692010446203749	3692010446203749				3692010446203749	0			3	<a href=" rel="nofollow">iPhone客户端</a>	回复@停转的牧马:I was! But dat coffee!!!! [哈哈]//@停转的牧马:you look so tired[困]			5060511691	00	3691990362997532	1397717462209
2801-	6		9	Fri Mar 07 06:36:58 +0800 2014			3685375355118467	3685375355118467				3685375355118467	0			1	<a href=" rel="nofollow">iPhone客户端</a>	回复@CoMe_SunShinE:Thanks! People are so friendly on Weibo!//@CoMe_SunShinE:hey，man, welcome to weblog~			5060511691	00	3685335693334862	1397717462210
2802-	9		9	Fri Apr 11 02:10:01 +0800 2014			3697991749848920	3697991749848920				3697991749848920	0		#	0	<a href=" rel="nofollow">Instagram</a>	I like this new haircut... Fresh cut, #NewMan!  			5060511691	00	0	1397717462211
2803-	7		8	Sat Mar 15 01:07:59 +0800 2014			3688191670808969	3688191670808969				3688191670808969	0			2	<a href=" rel="nofollow">iPhone客户端</a>	回复@南极JaronNan:I agree! Beautiful and elegant woman [呵呵]...but young at heart and so much fun! @曲婉婷Wanting			5060511691	00	3687864854744873	1397717462212
2804-	7		5	Sat Mar 08 00:21:11 +0800 2014		type:Pointcoordinates:#45.349#-75.754	3685643177704232	3685643177704232				3685643177704232	0			0	<a href=" rel="nofollow">iPhone客户端</a>	#ottawa# tonight! See you there :)#saythewordstour# @曲婉婷Wanting [酷] 我在:			5060511691	00	0	1397717462213
2805-	4		6	Fri Apr 11 02:22:52 +0800 2014			3697994983773987	3697994983773987				3697994983773987	0			0	<a href=" rel="nofollow">iPhone客户端</a>	回复@Mangena826:Me! :p//@Mangena826:Who is kid？			5060511691	00	3697994379893351	1397717462214
2806-	2		2	Sat Mar 08 10:28:56 +0800 2014			3685796118919433	3685796118919433				3685796118919433	0			1	<a href=" rel="nofollow">iPhone客户端</a>	Amazing night! Thank you!			5060511691	00	3685782801932858	1397717462215
